StudentID,department,gender,address,admission_status,aboriginal,child_of_new_residents,family_children_ranking,parent_avg_income_per_month,on_campus_accommodation,main_source_of_living_expenses,student_loan,tuition_waiver,father_live_or_not,father_occupations,father_education,mother_live_or_not,mother_occupations,mother_education,num_required_credits,num_elective_credits,sick_leave,personal_leave,learning_status,target_group
3487,Biology,Female,Urban,Admitted,0,1,2,6899,1,Scholarship,1,1,1,Lawyer,Bachelor,0,Teacher,High School,119,1,4,1,1,Group 2
6901,Psychology,Female,Urban,Not Admitted,0,0,1,6761,0,Family Support,1,0,1,Businessman,Bachelor,0,Doctor,High School,40,20,3,3,0,Group 2
3478,Business Administration,Male,Rural,Admitted,0,1,5,6197,1,Family Support,1,0,1,Doctor,Bachelor,1,Librarian,High School,48,6,4,3,1,Group 3
1740,Psychology,Female,Urban,Admitted,0,1,1,4709,1,Family Support,1,0,0,Chef,Bachelor,0,Teacher,Master,48,13,3,3,0,Group 1
6174,Psychology,Male,Rural,Admitted,1,0,3,4064,0,Family Support,1,0,0,Pilot,Bachelor,1,Teacher,Bachelor,82,16,3,3,1,Group 2
4330,Engineering,Female,Rural,Not Admitted,0,1,3,7281,1,Family Support,1,0,1,Police Officer,High School,0,Pilot,Bachelor,107,1,2,4,0,Group 1
4968,Business Administration,Female,Rural,Not Admitted,0,0,4,5508,1,Family Support,0,0,1,Doctor,High School,0,Teacher,Master,98,2,0,3,0,Group 2
8580,Business Administration,Male,Urban,Admitted,0,0,3,4718,0,Family Support,1,1,0,Artist,Bachelor,0,Businesswoman,High School,49,29,1,4,0,Group 2
1417,Business Administration,Female,Rural,Admitted,0,1,5,6332,1,Scholarship,1,1,1,Chef,High School,1,Pilot,Bachelor,87,21,4,1,0,Group 1
5022,Psychology,Female,Rural,Not Admitted,1,0,1,5593,1,Family Support,1,1,0,Teacher,High School,0,Librarian,Bachelor,38,4,0,2,0,Group 3
9013,Biology,Male,Rural,Not Admitted,1,1,3,4472,0,Family Support,1,1,0,Pilot,Bachelor,0,Librarian,Bachelor,40,18,4,3,0,Group 3
4602,Business Administration,Female,Rural,Not Admitted,1,0,3,3698,1,Family Support,1,0,1,Artist,Master,1,Teacher,Bachelor,106,27,1,3,0,Group 1
5527,Psychology,Male,Urban,Not Admitted,1,0,4,3944,1,Scholarship,0,0,0,Businessman,High School,0,Businesswoman,High School,72,27,3,0,1,Group 2
4846,Engineering,Male,Urban,Admitted,1,0,3,3136,1,Scholarship,1,0,0,Artist,High School,0,Artist,High School,70,15,0,1,1,Group 2
4969,Biology,Male,Rural,Admitted,1,1,1,4225,1,Family Support,0,0,1,Businessman,Master,1,Businesswoman,High School,97,16,1,1,0,Group 1
6203,Engineering,Female,Urban,Admitted,0,0,2,7988,1,Family Support,0,1,0,Chef,High School,0,Nurse,Bachelor,65,16,4,0,1,Group 1
6434,Biology,Female,Urban,Not Admitted,0,1,1,5702,1,Scholarship,0,1,1,Pilot,High School,0,Teacher,High School,57,8,1,0,1,Group 3
5604,Psychology,Male,Rural,Not Admitted,0,1,3,7716,0,Scholarship,0,1,0,Engineer,Master,0,Businesswoman,Bachelor,117,13,4,1,0,Group 3
2012,Computer Science,Female,Urban,Admitted,1,1,3,5204,1,Family Support,1,1,0,Chef,Bachelor,1,Teacher,High School,72,23,4,4,1,Group 2
3766,Biology,Male,Urban,Not Admitted,1,0,3,6326,1,Family Support,1,0,1,Doctor,Bachelor,0,Teacher,Bachelor,94,20,0,4,1,Group 3
2086,Engineering,Female,Urban,Admitted,1,0,4,5228,1,Family Support,1,1,1,Lawyer,High School,1,Nurse,Master,87,8,1,4,1,Group 1
1456,Psychology,Male,Urban,Not Admitted,0,1,5,5456,0,Family Support,0,0,1,Lawyer,High School,1,Engineer,High School,112,21,0,4,0,Group 3
4280,Biology,Male,Urban,Admitted,1,1,1,7948,0,Family Support,1,1,0,Artist,Bachelor,1,Doctor,Master,115,26,1,1,1,Group 1
2404,Computer Science,Female,Urban,Admitted,0,1,3,6802,1,Family Support,1,1,0,Lawyer,Bachelor,1,Teacher,High School,45,1,4,0,1,Group 3
7113,Computer Science,Male,Rural,Admitted,1,1,2,6099,1,Family Support,1,0,1,Police Officer,High School,1,Artist,Master,51,19,3,2,1,Group 2
7776,Business Administration,Male,Urban,Admitted,0,1,4,6734,1,Scholarship,1,1,1,Chef,Master,0,Nurse,Master,83,0,2,3,1,Group 3
5555,Business Administration,Female,Rural,Not Admitted,1,1,5,7966,0,Family Support,1,0,1,Doctor,Master,1,Police Officer,Master,117,5,3,0,1,Group 3
9548,Engineering,Male,Rural,Admitted,0,0,3,7707,0,Scholarship,0,1,0,Chef,Bachelor,1,Businesswoman,High School,52,16,0,0,0,Group 1
2754,Biology,Male,Rural,Admitted,0,1,1,4538,0,Scholarship,0,0,0,Doctor,Bachelor,0,Librarian,Bachelor,97,23,1,4,0,Group 1
8423,Biology,Female,Urban,Admitted,1,1,2,4568,0,Scholarship,0,1,0,Teacher,High School,0,Police Officer,Bachelor,32,15,0,1,0,Group 1
3871,Business Administration,Male,Urban,Admitted,1,1,4,6270,1,Family Support,1,0,0,Businessman,Master,1,Businesswoman,Bachelor,70,1,3,0,1,Group 2
6443,Biology,Male,Rural,Not Admitted,0,1,1,7164,1,Scholarship,1,1,1,Chef,Master,1,Artist,High School,82,15,2,3,1,Group 2
9351,Biology,Male,Rural,Admitted,1,0,1,3601,1,Scholarship,0,1,1,Pilot,High School,1,Nurse,Bachelor,86,17,2,4,1,Group 3
1988,Computer Science,Male,Rural,Admitted,1,0,4,5064,0,Family Support,1,0,1,Police Officer,Master,1,Librarian,High School,61,16,3,3,1,Group 1
2176,Business Administration,Male,Urban,Not Admitted,0,1,1,7974,0,Family Support,1,1,1,Doctor,Master,1,Artist,Bachelor,77,6,3,0,0,Group 3
2283,Psychology,Male,Urban,Admitted,0,1,2,6906,0,Family Support,1,0,1,Chef,Master,0,Engineer,Master,46,25,1,3,0,Group 1
6457,Business Administration,Male,Urban,Admitted,0,1,2,3545,1,Family Support,1,1,1,Businessman,Master,1,Doctor,Master,111,8,1,0,1,Group 3
4751,Psychology,Male,Rural,Admitted,1,0,1,3183,0,Family Support,1,0,1,Teacher,Master,0,Doctor,Master,74,29,1,2,0,Group 2
6205,Computer Science,Female,Urban,Admitted,0,0,3,3837,1,Family Support,0,0,1,Doctor,Bachelor,1,Businesswoman,High School,39,11,0,3,1,Group 1
9375,Engineering,Male,Urban,Not Admitted,1,0,1,4892,0,Family Support,0,1,1,Doctor,High School,0,Teacher,Master,65,26,0,3,1,Group 2
3819,Biology,Male,Rural,Not Admitted,1,1,3,4388,0,Family Support,1,1,0,Chef,Bachelor,1,Nurse,Master,35,14,3,4,0,Group 2
7067,Computer Science,Female,Urban,Not Admitted,0,0,1,4941,1,Family Support,1,1,1,Lawyer,Bachelor,0,Police Officer,Bachelor,99,7,0,2,0,Group 2
6436,Biology,Male,Rural,Not Admitted,1,1,5,4457,0,Family Support,1,1,0,Police Officer,Master,0,Librarian,High School,54,28,3,0,1,Group 3
4435,Engineering,Male,Urban,Not Admitted,1,1,2,6270,1,Scholarship,0,1,1,Pilot,High School,1,Teacher,Bachelor,86,17,4,3,1,Group 3
5696,Engineering,Male,Rural,Not Admitted,0,1,1,5800,0,Family Support,0,0,0,Artist,Bachelor,1,Businesswoman,Master,45,21,2,3,1,Group 3
5872,Computer Science,Male,Urban,Admitted,0,1,2,6303,0,Scholarship,0,1,1,Lawyer,Master,1,Librarian,Master,81,19,0,2,1,Group 2
3340,Engineering,Male,Rural,Admitted,1,1,4,5770,1,Scholarship,0,1,0,Businessman,Master,0,Businesswoman,Bachelor,107,29,0,4,0,Group 3
4819,Psychology,Male,Urban,Admitted,0,0,5,4453,0,Family Support,1,0,1,Police Officer,Master,1,Police Officer,High School,96,19,3,0,0,Group 2
4288,Engineering,Female,Rural,Admitted,0,0,3,6635,0,Family Support,0,0,0,Artist,High School,0,Engineer,High School,72,25,4,2,0,Group 3
8519,Biology,Female,Rural,Not Admitted,1,0,4,6286,1,Family Support,0,1,0,Doctor,Bachelor,0,Artist,Bachelor,82,3,4,2,0,Group 2
9788,Biology,Female,Urban,Admitted,0,1,5,4172,0,Family Support,1,0,0,Lawyer,Bachelor,0,Police Officer,Bachelor,52,0,3,0,0,Group 2
6975,Biology,Female,Urban,Admitted,0,0,4,4711,1,Scholarship,0,0,1,Engineer,High School,0,Engineer,High School,95,12,4,0,1,Group 1
3399,Biology,Female,Rural,Not Admitted,1,1,2,3780,1,Family Support,1,0,1,Chef,High School,1,Artist,Master,87,8,4,1,1,Group 1
6637,Psychology,Male,Urban,Admitted,1,1,5,4028,1,Scholarship,0,1,0,Businessman,Master,1,Teacher,Master,94,1,0,2,0,Group 2
